snapped_at,,bitcoin,ethereum,binancecoin,solana,cardano,xrp,polkadot,dogecoin,avalanche,litecoin
2020-10-14 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-14 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-14 00:00:00+00:00,solana,,,,,,,,,,
2020-10-14 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-14 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-14 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-14 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-14 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-14 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-15 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-15 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-15 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-15 00:00:00+00:00,solana,,,,,,,,,,
2020-10-15 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-15 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-15 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-15 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-15 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-15 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-16 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-16 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-16 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-16 00:00:00+00:00,solana,,,,,,,,,,
2020-10-16 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-16 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-16 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-16 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-16 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-16 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-17 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-17 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-17 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-17 00:00:00+00:00,solana,,,,,,,,,,
2020-10-17 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-17 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-17 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-17 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-17 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-17 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-18 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-18 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-18 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-18 00:00:00+00:00,solana,,,,,,,,,,
2020-10-18 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-18 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-18 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-18 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-18 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-18 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-19 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-19 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-19 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-19 00:00:00+00:00,solana,,,,,,,,,,
2020-10-19 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-19 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-19 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-19 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-19 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-19 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-20 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-20 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-20 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-20 00:00:00+00:00,solana,,,,,,,,,,
2020-10-20 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-20 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-20 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-20 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-20 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-20 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-21 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-21 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-21 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-21 00:00:00+00:00,solana,,,,,,,,,,
2020-10-21 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-21 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-21 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-21 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-21 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-21 00:00:00+00:00,litecoin,,,,,,,,,,
